Run directory: ./outputs_sam_sirst_hq\NUAA_HQ_mllm_Qwen3_tokenCLIP_TSP1_TDPg03_SC_20260226_101308
MLLM TextConditioner enabled: text_dim=512, params=262656
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=global, hidden=128, heads=4, alpha=0.3, params=246785
[Epoch 160] loss=0.7194 miou=0.2143 niou=0.4082 f1=0.3530 pd=0.8554 fa=0.000829 thr=0.46 time=36.1s
[Epoch 161] loss=0.6644 miou=0.2737 niou=0.4131 f1=0.4298 pd=0.8054 fa=0.000441 thr=0.43 time=36.0s
[Epoch 162] loss=0.6294 miou=0.2715 niou=0.4047 f1=0.4270 pd=0.8071 fa=0.000447 thr=0.44 time=36.0s
[Epoch 163] loss=0.5945 miou=0.3017 niou=0.4949 f1=0.4636 pd=0.8929 fa=0.000607 thr=0.46 time=35.8s
[Epoch 164] loss=0.6152 miou=0.3463 niou=0.4864 f1=0.5144 pd=0.8600 fa=0.000376 thr=0.45 time=35.0s
[Epoch 165] loss=0.5796 miou=0.3891 niou=0.5145 f1=0.5602 pd=0.8690 fa=0.000274 thr=0.44 time=29.1s
[Epoch 166] loss=0.5877 miou=0.3478 niou=0.5144 f1=0.5161 pd=0.8805 fa=0.000415 thr=0.46 time=28.6s
[Epoch 167] loss=0.5243 miou=0.3054 niou=0.4940 f1=0.4679 pd=0.8735 fa=0.000659 thr=0.48 time=29.1s
[Epoch 168] loss=0.5760 miou=0.3680 niou=0.5335 f1=0.5380 pd=0.9020 fa=0.000415 thr=0.46 time=28.8s
[Epoch 169] loss=0.5395 miou=0.3282 niou=0.5027 f1=0.4942 pd=0.9012 fa=0.000554 thr=0.50 time=28.7s
[Epoch 170] loss=0.4973 miou=0.2922 niou=0.5072 f1=0.4523 pd=0.8833 fa=0.000748 thr=0.47 time=28.6s
[Epoch 171] loss=0.4863 miou=0.4041 niou=0.5317 f1=0.5756 pd=0.8611 fa=0.000243 thr=0.44 time=28.7s
[Epoch 172] loss=0.5055 miou=0.4270 niou=0.5566 f1=0.5985 pd=0.8645 fa=0.000213 thr=0.45 time=28.7s
[Epoch 173] loss=0.4624 miou=0.4780 niou=0.5833 f1=0.6468 pd=0.8956 fa=0.000213 thr=0.45 time=28.8s
[Epoch 174] loss=0.4695 miou=0.4425 niou=0.5433 f1=0.6135 pd=0.8431 fa=0.000141 thr=0.43 time=29.2s
[Epoch 175] loss=0.4452 miou=0.5353 niou=0.5863 f1=0.6973 pd=0.8504 fa=0.000081 thr=0.44 time=34.2s
[Epoch 176] loss=0.4190 miou=0.5031 niou=0.5963 f1=0.6695 pd=0.8828 fa=0.000159 thr=0.45 time=34.0s
[Epoch 177] loss=0.3955 miou=0.4916 niou=0.5941 f1=0.6592 pd=0.8996 fa=0.000250 thr=0.47 time=34.2s
[Epoch 178] loss=0.4349 miou=0.4700 niou=0.6069 f1=0.6394 pd=0.8960 fa=0.000276 thr=0.46 time=34.2s
[Epoch 179] loss=0.4285 miou=0.4595 niou=0.5865 f1=0.6297 pd=0.8980 fa=0.000272 thr=0.48 time=34.2s
[Epoch 180] loss=0.7496 miou=0.1879 niou=0.3782 f1=0.3164 pd=0.7937 fa=0.000910 thr=0.46 time=34.1s
[Epoch 181] loss=0.6901 miou=0.2178 niou=0.4275 f1=0.3577 pd=0.8320 fa=0.000854 thr=0.46 time=34.2s
[Epoch 182] loss=0.6733 miou=0.2330 niou=0.4510 f1=0.3780 pd=0.8392 fa=0.000801 thr=0.45 time=34.2s
[Epoch 183] loss=0.6493 miou=0.2171 niou=0.4726 f1=0.3568 pd=0.9200 fa=0.001164 thr=0.48 time=34.0s
[Epoch 184] loss=0.6289 miou=0.2813 niou=0.4756 f1=0.4391 pd=0.8645 fa=0.000542 thr=0.44 time=34.2s
[Epoch 185] loss=0.5865 miou=0.2861 niou=0.5162 f1=0.4449 pd=0.9134 fa=0.000733 thr=0.46 time=34.4s
[Epoch 186] loss=0.5584 miou=0.3214 niou=0.4762 f1=0.4864 pd=0.8419 fa=0.000347 thr=0.43 time=34.4s
[Epoch 187] loss=0.5493 miou=0.3110 niou=0.4978 f1=0.4744 pd=0.9492 fa=0.000600 thr=0.48 time=34.3s
[Epoch 188] loss=0.5449 miou=0.3223 niou=0.5043 f1=0.4875 pd=0.9484 fa=0.000669 thr=0.46 time=34.2s
[Epoch 189] loss=0.5510 miou=0.3703 niou=0.5210 f1=0.5404 pd=0.9080 fa=0.000371 thr=0.45 time=33.9s
[Epoch 190] loss=0.5146 miou=0.4114 niou=0.5510 f1=0.5830 pd=0.9528 fa=0.000376 thr=0.47 time=34.7s
